,fips_code,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Hospitals,Local_Hospital
1056,21129,0.0,0.0,0.0,0.0,0.0,no
1057,21131,0.0,0.0,0.0,0.0,0.0,no
1058,21133,90.0,3524.0,14025.0,266184.0,1.0,yes
1059,21135,0.0,0.0,0.0,0.0,0.0,no
1060,21137,0.0,0.0,0.0,0.0,0.0,no
1061,21139,0.0,0.0,0.0,0.0,0.0,no
1062,21141,75.0,482.0,1921.0,136411.0,1.0,yes
1063,21143,0.0,0.0,0.0,0.0,0.0,no
1064,21145,482.0,20091.0,82852.0,3498222.0,2.0,yes
1065,21147,0.0,0.0,0.0,0.0,0.0,no
1066,21149,0.0,0.0,0.0,0.0,0.0,no
1067,21151,50.0,3698.0,14713.0,813473.0,1.0,yes
1068,21153,0.0,0.0,0.0,0.0,0.0,no
1069,21155,75.0,966.0,3713.0,234285.0,1.0,yes
1070,21157,0.0,0.0,0.0,0.0,0.0,no
1071,21159,0.0,0.0,0.0,0.0,0.0,no
1072,21161,100.0,2145.0,7097.0,400254.0,1.0,yes
1073,21163,0.0,0.0,0.0,0.0,0.0,no
1074,21165,0.0,0.0,0.0,0.0,0.0,no
1075,21167,0.0,0.0,0.0,0.0,0.0,no
1076,21169,0.0,0.0,0.0,0.0,0.0,no
1077,21171,49.0,1147.0,4842.0,44366.0,1.0,yes
1078,21173,42.0,1675.0,8841.0,200492.0,1.0,yes
1079,21175,0.0,0.0,0.0,0.0,0.0,no
1080,21177,90.0,1222.0,5192.0,152586.0,1.0,yes
1081,21179,52.0,1694.0,7302.0,328167.0,1.0,yes
1082,21181,0.0,0.0,0.0,0.0,0.0,no
1083,21183,0.0,0.0,0.0,0.0,0.0,no
1084,21185,42.0,1583.0,5787.0,1740859.0,1.0,yes
1085,21187,0.0,0.0,0.0,0.0,0.0,no
1086,21189,0.0,0.0,0.0,0.0,0.0,no
1087,21191,0.0,0.0,0.0,0.0,0.0,no
1088,21193,300.0,8412.0,46289.0,1123036.0,1.0,yes
1089,21195,470.0,12505.0,75581.0,2829357.0,2.0,yes
1090,21197,0.0,0.0,0.0,0.0,0.0,no
1091,21199,216.0,7508.0,40345.0,1586682.0,1.0,yes
1092,21201,0.0,0.0,0.0,0.0,0.0,no
1093,21203,173.0,1008.0,4653.0,204655.0,1.0,yes
1094,21205,123.0,4305.0,20469.0,564282.0,1.0,yes
1095,21207,0.0,0.0,0.0,0.0,0.0,no
1096,21209,75.0,1960.0,7098.0,540603.0,1.0,yes
1097,21211,32.0,1047.0,3614.0,164320.0,1.0,yes
1098,21213,0.0,0.0,0.0,0.0,0.0,no
1099,21215,0.0,0.0,0.0,0.0,0.0,no
1100,21217,90.0,1676.0,8649.0,304748.0,1.0,yes
1101,21219,0.0,0.0,0.0,0.0,0.0,no
1102,21221,0.0,0.0,0.0,0.0,0.0,no
1103,21223,0.0,0.0,0.0,0.0,0.0,no
1104,21225,0.0,0.0,0.0,0.0,0.0,no
1105,21227,444.0,18933.0,104418.0,2181365.0,2.0,yes
1106,21229,0.0,0.0,0.0,0.0,0.0,no
1107,21231,0.0,0.0,0.0,0.0,0.0,no
1108,21233,0.0,0.0,0.0,0.0,0.0,no
1109,21235,221.0,9047.0,45705.0,1525860.0,1.0,yes
1110,21237,0.0,0.0,0.0,0.0,0.0,no
1111,21239,0.0,0.0,0.0,0.0,0.0,no
1112,22001,113.0,1526.0,8375.0,229865.0,1.0,yes
1113,22003,97.0,872.0,4081.0,111207.0,2.0,yes
1114,22005,78.0,2712.0,11320.0,263635.0,2.0,yes
1115,22007,0.0,0.0,0.0,0.0,0.0,no
1116,22009,49.0,666.0,2862.0,84363.0,1.0,yes
1117,22011,49.0,1369.0,6185.0,181771.0,1.0,yes
1118,22013,0.0,0.0,0.0,0.0,0.0,no
1119,22015,124.0,7341.0,30875.0,584756.0,1.0,yes
1120,22017,1441.0,64277.0,315923.0,7242662.0,10.0,yes
1121,22019,697.0,18904.0,94149.0,2948271.0,6.0,yes
1122,22021,77.0,693.0,3139.0,61850.0,2.0,yes
1123,22023,49.0,0.0,0.0,6739.0,1.0,yes
1124,22025,0.0,0.0,0.0,0.0,0.0,no
1125,22027,37.0,843.0,3945.0,64741.0,1.0,yes
1126,22029,0.0,0.0,0.0,0.0,0.0,no
1127,22031,34.0,249.0,1012.0,72752.0,1.0,yes
1128,22033,1909.0,67341.0,374253.0,7962944.0,9.0,yes
1129,22035,23.0,224.0,776.0,17148.0,1.0,yes
1130,22037,297.0,7.0,19.0,0.0,1.0,yes
1131,22039,108.0,1349.0,7380.0,279203.0,2.0,yes
1132,22041,39.0,575.0,2053.0,94693.0,1.0,yes
1133,22043,0.0,0.0,0.0,0.0,0.0,no
1134,22045,159.0,3706.0,18674.0,430325.0,1.0,yes
1135,22047,0.0,0.0,0.0,0.0,0.0,no
1136,22049,0.0,0.0,0.0,0.0,0.0,no
1137,22051,995.0,38691.0,181138.0,4173344.0,7.0,yes
1138,22053,49.0,1948.0,9583.0,140594.0,1.0,yes
1139,22055,1096.0,46659.0,263619.0,6144672.0,9.0,yes
1140,22057,194.0,7372.0,26381.0,1043482.0,1.0,yes
1141,22059,46.0,606.0,2610.0,51935.0,1.0,yes
1142,22061,122.0,3024.0,15888.0,367142.0,1.0,yes
1143,22063,0.0,0.0,0.0,0.0,0.0,no
1144,22065,0.0,0.0,0.0,0.0,0.0,no
1145,22067,49.0,837.0,3423.0,89019.0,1.0,yes
1146,22069,208.0,1886.0,8831.0,276487.0,1.0,yes
1147,22071,2418.0,80140.0,494582.0,15408487.0,8.0,yes
1148,22073,762.0,26880.0,125325.0,2843016.0,5.0,yes
1149,22075,0.0,0.0,0.0,0.0,0.0,no
1150,22077,0.0,0.0,0.0,0.0,0.0,no
1151,22079,692.0,27157.0,150090.0,4603832.0,5.0,yes
1152,22081,0.0,0.0,0.0,0.0,0.0,no
1153,22083,38.0,484.0,2156.0,58487.0,1.0,yes
1154,22085,48.0,357.0,1433.0,42266.0,1.0,yes
1155,22087,40.0,1428.0,6072.0,151810.0,1.0,yes
1156,22089,57.0,699.0,3040.0,166529.0,1.0,yes
1157,22091,0.0,0.0,0.0,0.0,0.0,no
1158,22093,0.0,0.0,0.0,0.0,0.0,no
1159,22095,0.0,0.0,0.0,0.0,0.0,no
1160,22097,417.0,9247.0,33777.0,917805.0,3.0,yes
1161,22099,0.0,0.0,0.0,0.0,0.0,no
1162,22101,156.0,1699.0,7443.0,269686.0,1.0,yes
1163,22103,793.0,32627.0,145109.0,5130152.0,7.0,yes
1164,22105,294.0,11353.0,61016.0,2120033.0,2.0,yes
1165,22107,0.0,0.0,0.0,0.0,0.0,no
1166,22109,291.0,6811.0,32793.0,833188.0,3.0,yes
1167,22111,0.0,0.0,0.0,0.0,0.0,no
1168,22113,60.0,1524.0,6883.0,173356.0,1.0,yes
1169,22115,49.0,1155.0,5320.0,370219.0,2.0,yes
1170,22117,48.0,1418.0,6235.0,168144.0,1.0,yes
1171,22119,213.0,2408.0,9938.0,343095.0,2.0,yes
1172,22121,0.0,0.0,0.0,0.0,0.0,no
1173,22123,30.0,536.0,2003.0,45981.0,1.0,yes
